text1,text2,similarity
There is a thunderstorm,The cat is sleeping,0.3
I am cooking dinner,The weather is hot,0.0
The cat is sleeping,I feel nervous,0.14
I am calm and relaxed,The room is clean,0.01
The movie was boring,It might snow today,0.0
I feel nervous,The room is clean,0.0
I am coding a project,The weather is hot,0.08
I am doing yoga,There is a thunderstorm,0.0
I feel confident,I am feeling great,0.4
I am happy today,The dog is barking,0.0
I am calm and relaxed,The weather is cold,0.0
I am going to the gym,The food tastes great,0.13
I feel confident,The phone is ringing,0.0
There is a thunderstorm,I am cooking dinner,0.0
I am learning a new language,The cat is sleeping,0.0
There is a thunderstorm,The food tastes great,0.0
The game was fun,A storm is coming,0.0
The food tastes great,The food tastes great,0.86
I am coding a project,I feel nervous,0.0
I am learning a new language,The room is clean,0.0
The game was fun,I am calm and relaxed,0.0
I feel excited,The food tastes great,0.16
I am a bit upset,The weather is hot,0.02
It is raining today,I am a bit upset,0.0
It is cloudy today,There is a thunderstorm,0.2
The game was fun,It is windy today,0.02
The room is clean,The movie was boring,0.19
I am cleaning my room,The cat is sleeping,0.0
I am cooking dinner,I am coding a project,0.68
A storm is coming,I am happy today,0.0
There is a thunderstorm,It is cloudy today,0.35
The cat is sleeping,I am going to the gym,0.26
I am cleaning my room,The weather is cold,0.13
I feel nervous,I am a bit upset,0.18
The car is parked outside,I am reading a book,0.09
I am playing football,There is a thunderstorm,0.19
I am cleaning my room,I feel confident,0.05
There is a thunderstorm,I feel confident,0.19
I am happy today,The movie was boring,0.0
It is windy today,It is raining today,0.89
It is sunny today,The weather is cold,0.11
It might snow today,The car is parked outside,0.03
There is a thunderstorm,It might snow today,0.13
I am studying for exams,I am cleaning my room,0.42
It is raining today,The bed is comfortable,0.11
I am playing football,It is raining today,0.0
I feel confident,I am coding a project,0.19
It might snow today,I am going to the gym,0.0
It might snow today,It might snow today,1.0
The food tastes great,It is raining today,0.18
It is windy today,The phone is ringing,0.44
It is sunny today,I am a bit upset,0.06
The weather is cold,I am a bit upset,0.0
I am learning a new language,The food tastes great,0.0
I feel confident,I am watching a movie,0.16
I am cleaning my room,I feel excited,0.03
It is cloudy today,I am watching a movie,0.08
I am reading a book,The computer is running,0.0
I am going to the gym,I am sad today,0.28
I am feeling great,I am scared,0.35
The bed is comfortable,I am studying for exams,0.02
I am cleaning my room,I feel excited,0.3
I am studying for exams,The movie was boring,0.0
There is a thunderstorm,I am watching a movie,0.21
The computer is running,The room is clean,0.57
I am going to the gym,It is cloudy today,0.1
The food tastes great,The weather is cold,0.11
I am coding a project,It is cloudy today,0.17
I am studying for exams,I am happy today,0.44
I feel excited,It is raining today,0.18
I am cooking dinner,It is cloudy today,0.0
The weather is cold,I am feeling great,0.1
I am learning a new language,The bed is comfortable,0.0
I am cooking dinner,I am going to the gym,0.52
I am cleaning my room,I am a bit upset,0.31
I am a bit upset,I am sad today,0.25
The cat is sleeping,It is raining today,0.14
I am scared,The movie was boring,0.15
There is a thunderstorm,The bed is comfortable,0.16
I am feeling great,The room is clean,0.0
It is a beautiful day,I am calm and relaxed,0.07
I am watching a movie,I am playing football,0.52
It is a beautiful day,I am a bit upset,0.35
It is raining today,It is sunny today,0.85
I am calm and relaxed,I am watching a movie,0.28
The cat is sleeping,It is a beautiful day,0.31
I am going to the gym,I am doing yoga,0.18
The cat is sleeping,The phone is ringing,0.36
I feel nervous,The movie was boring,0.17
A storm is coming,The phone is ringing,0.41
The dog is barking,I am coding a project,0.2
The weather is hot,I am cleaning my room,0.0
I am sad today,The computer is running,0.17
It is cloudy today,I am happy today,0.17
The room is clean,I am calm and relaxed,0.0
I feel excited,The phone is ringing,0.14
I am reading a book,It is a beautiful day,0.21
I am learning a new language,The movie was boring,0.14
It is cloudy today,I am sad today,0.13
The car is parked outside,I am doing yoga,0.11
The weather is hot,It is raining today,0.07
I feel excited,The computer is running,0.0
I am learning a new language,I am feeling great,0.5
A storm is coming,I feel excited,0.14
The food tastes great,The movie was boring,0.36
The food tastes great,It is cloudy today,0.13
The dog is barking,It is windy today,0.28
I feel nervous,A storm is coming,0.06
The food tastes great,It is raining today,0.0
It is a beautiful day,There is a thunderstorm,0.37
I am cleaning my room,The computer is running,0.0
The weather is cold,I am coding a project,0.0
I am very tired,I am learning a new language,0.62
The room is clean,It is raining today,0.13
I feel excited,The food tastes great,0.0
I am calm and relaxed,It is windy today,0.17
I am scared,I am scared,1.0
The room is clean,I feel nervous,0.0
I feel confident,I am watching a movie,0.48
I am cooking dinner,I am cleaning my room,0.4
The room is clean,The weather is hot,0.62
It is sunny today,I am studying for exams,0.2
The dog is barking,I am cooking dinner,0.0
I am cleaning my room,I am calm and relaxed,0.43
The dog is barking,The game was fun,0.14
I am learning a new language,I feel confident,0.18
The dog is barking,The food tastes great,0.37
I am going to the gym,The room is clean,0.0
I am sad today,The room is clean,0.03
I am studying for exams,It is sunny today,0.0
There is a thunderstorm,I am cooking dinner,0.0
It is windy today,I am happy today,0.37
It is cloudy today,I am cleaning my room,0.02
I am very tired,The phone is ringing,0.0
The car is parked outside,The dog is barking,0.59
I am cooking dinner,It is raining today,0.17
I am cooking dinner,I am cleaning my room,0.68
It is raining today,I feel nervous,0.14
I am a bit upset,I am feeling great,0.51
I am very tired,The phone is ringing,0.0
I am cooking dinner,I feel excited,0.08
The weather is hot,I am cooking dinner,0.0
The room is clean,I feel excited,0.01
It is sunny today,I am happy today,0.33
I am happy today,I feel nervous,0.08
I am feeling great,The dog is barking,0.0
I feel excited,The weather is hot,0.13
I am sad today,I am learning a new language,0.69
I am reading a book,I feel nervous,0.15
I am coding a project,I am calm and relaxed,0.54
A storm is coming,I am learning a new language,0.11
The weather is cold,It might snow today,0.18
The game was fun,I am coding a project,0.0
The dog is barking,It is a beautiful day,0.34
The room is clean,I am scared,0.0
The car is parked outside,I am very tired,0.02
It is raining today,I am cleaning my room,0.0
The car is parked outside,The dog is barking,0.36
The weather is hot,I am very tired,0.0
The cat is sleeping,The movie was boring,0.34
I am happy today,I am learning a new language,0.51
The game was fun,I am studying for exams,0.0
I feel confident,I am scared,0.17
I am coding a project,I am a bit upset,0.76
The computer is running,A storm is coming,0.27
It is windy today,It is sunny today,0.83
I am very tired,I am coding a project,0.61
It is cloudy today,I am playing football,0.02
It is a beautiful day,The car is parked outside,0.36
I am playing football,I am sad today,0.36
I am happy today,I feel confident,0.33
The bed is comfortable,There is a thunderstorm,0.36
I am scared,The weather is hot,0.0
The cat is sleeping,There is a thunderstorm,0.42
I feel confident,The cat is sleeping,0.0
The cat is sleeping,It is sunny today,0.07
I am calm and relaxed,I am cooking dinner,0.25
I am going to the gym,It might snow today,0.0
I am feeling great,I am a bit upset,0.57
I am cooking dinner,The bed is comfortable,0.07
The food tastes great,I am cleaning my room,0.0
I feel nervous,The food tastes great,0.0
The computer is running,It might snow today,0.2
I am very tired,The weather is hot,0.0
I am reading a book,It is windy today,0.01
I feel excited,The computer is running,0.0
I am playing football,It is sunny today,0.0
I am feeling great,I feel confident,0.17
I am playing football,I am reading a book,0.4
The weather is cold,I am coding a project,0.0
The car is parked outside,I am scared,0.0
There is a thunderstorm,The computer is running,0.12
The weather is cold,I feel confident,0.03
I am calm and relaxed,I feel confident,0.09
The weather is cold,I am learning a new language,0.06
It is a beautiful day,I am cleaning my room,0.0
The cat is sleeping,It is a beautiful day,0.08
The food tastes great,I am very tired,0.0
I am learning a new language,I am a bit upset,0.63
I am going to the gym,It is a beautiful day,0.09
It is windy today,I feel confident,0.03
I am watching a movie,I am coding a project,0.48
I am happy today,A storm is coming,0.0
The car is parked outside,I am cooking dinner,0.0
I am a bit upset,The game was fun,0.0
I am going to the gym,I am cooking dinner,0.14
The weather is hot,The weather is cold,0.56
It is sunny today,It is windy today,0.64
The weather is cold,I am studying for exams,0.0
I am reading a book,I feel confident,0.36
It is windy today,I am calm and relaxed,0.04
It is cloudy today,It is sunny today,0.86
The car is parked outside,The phone is ringing,0.45
There is a thunderstorm,I feel confident,0.17
The movie was boring,It is windy today,0.2
The computer is running,I am very tired,0.07
A storm is coming,I feel excited,0.2
I feel excited,It might snow today,0.0
I am scared,I am playing football,0.72
The car is parked outside,A storm is coming,0.38
The car is parked outside,It is windy today,0.29
I am coding a project,The weather is hot,0.0
I feel nervous,I am happy today,0.44
It is sunny today,I am learning a new language,0.0
The car is parked outside,It is sunny today,0.21
The movie was boring,It is raining today,0.08
I am playing football,I am coding a project,0.39
The food tastes great,The weather is hot,0.18
The weather is cold,I am happy today,0.16
The car is parked outside,I am learning a new language,0.0
I am feeling great,I am studying for exams,0.59
It is windy today,I feel confident,0.0
I feel nervous,I am playing football,0.28
I am sad today,I am a bit upset,0.57
The food tastes great,I am sad today,0.0
I am reading a book,The phone is ringing,0.06
I am going to the gym,The food tastes great,0.23
The bed is comfortable,A storm is coming,0.4
There is a thunderstorm,A storm is coming,0.47
The movie was boring,The food tastes great,0.32
I am very tired,I am reading a book,0.46
The dog is barking,I am calm and relaxed,0.0
I am going to the gym,I am scared,0.42
The dog is barking,The dog is barking,1.0
I am reading a book,I am coding a project,0.54
I feel confident,The weather is cold,0.0
The food tastes great,It is windy today,0.14
I am playing football,It is raining today,0.0
It might snow today,The game was fun,0.13
The dog is barking,The cat is sleeping,0.54
I am coding a project,It is windy today,0.02
I am doing yoga,It is a beautiful day,0.0
I am feeling great,I am sad today,0.31
I am sad today,I feel nervous,0.36
It is cloudy today,I feel excited,0.17
I am studying for exams,It is windy today,0.18
I feel nervous,The weather is hot,0.07
The dog is barking,The cat is sleeping,0.42
The weather is hot,I am cooking dinner,0.0
It is cloudy today,I am scared,0.0
I am very tired,The car is parked outside,0.08
I feel confident,I am a bit upset,0.46
I am sad today,I am sad today,1.0
The phone is ringing,The weather is hot,0.35
I am reading a book,The movie was boring,0.0
I am sad today,The weather is cold,0.07
I am cooking dinner,The computer is running,0.05
I am feeling great,The phone is ringing,0.19
I am cooking dinner,It is cloudy today,0.0
I am calm and relaxed,The game was fun,0.0
I am happy today,A storm is coming,0.0
It is a beautiful day,The car is parked outside,0.16
I am sad today,I feel excited,0.11
I am going to the gym,It is a beautiful day,0.07
I am watching a movie,The dog is barking,0.0
The phone is ringing,It might snow today,0.04
I am coding a project,I am cooking dinner,0.56
The phone is ringing,I am cleaning my room,0.0
I am very tired,I feel nervous,0.26
The food tastes great,The room is clean,0.12
It is cloudy today,It is raining today,0.88
I am cooking dinner,The movie was boring,0.0
I am calm and relaxed,The room is clean,0.0
I am cleaning my room,I am going to the gym,0.44
I am calm and relaxed,I am cooking dinner,0.22
It is windy today,It is windy today,1.0
I am a bit upset,It is cloudy today,0.17
I am playing football,I am sad today,0.57
The weather is cold,I am feeling great,0.0
The weather is cold,I am playing football,0.0
The room is clean,I feel excited,0.0
The phone is ringing,The room is clean,0.69
The room is clean,The dog is barking,0.54
The cat is sleeping,I am learning a new language,0.1
The weather is cold,I am happy today,0.0
I feel nervous,It is raining today,0.09
I am calm and relaxed,The cat is sleeping,0.0
I am a bit upset,It is windy today,0.0
I am a bit upset,It is sunny today,0.0
The phone is ringing,I feel confident,0.15
I feel nervous,The food tastes great,0.0
The game was fun,I am doing yoga,0.02
I am very tired,It is cloudy today,0.16
The movie was boring,I feel excited,0.04
I am very tired,It is a beautiful day,0.01
The car is parked outside,I am cooking dinner,0.04
The movie was boring,I am learning a new language,0.0
I feel confident,I am a bit upset,0.26
The weather is cold,I am scared,0.0
I am reading a book,The computer is running,0.0
It is a beautiful day,I am going to the gym,0.07
It is a beautiful day,The computer is running,0.08
It might snow today,I am cleaning my room,0.0
I am cooking dinner,The movie was boring,0.2
I am sad today,The weather is cold,0.0
I am calm and relaxed,The phone is ringing,0.0
The game was fun,I am a bit upset,0.18
The movie was boring,I am cleaning my room,0.0
There is a thunderstorm,The cat is sleeping,0.29
The bed is comfortable,I am sad today,0.19
I am sad today,I am cooking dinner,0.35
The movie was boring,I am going to the gym,0.44
I am learning a new language,I am feeling great,0.19
I am reading a book,I am doing yoga,0.26
I am cooking dinner,The computer is running,0.16
The cat is sleeping,The car is parked outside,0.38
I am learning a new language,I am very tired,0.49
I feel nervous,It is windy today,0.1
I am calm and relaxed,I am very tired,0.43
I am scared,A storm is coming,0.0
I am coding a project,The bed is comfortable,0.03
I am scared,The room is clean,0.0
I am cleaning my room,A storm is coming,0.16
It is sunny today,I am scared,0.0
It might snow today,The room is clean,0.09
The weather is cold,It is sunny today,0.14
I am doing yoga,The weather is hot,0.19
The car is parked outside,I feel excited,0.0
The weather is hot,The weather is cold,0.68
It is a beautiful day,I feel nervous,0.17
I am very tired,I am studying for exams,0.68
The movie was boring,The dog is barking,0.07
The phone is ringing,It might snow today,0.0
The computer is running,The weather is hot,0.54
I feel excited,It is cloudy today,0.06
The room is clean,I am going to the gym,0.28
A storm is coming,The computer is running,0.21
I am calm and relaxed,I am watching a movie,0.41
I am going to the gym,The phone is ringing,0.07
The food tastes great,It is raining today,0.0
The food tastes great,The weather is hot,0.15
I am doing yoga,I am happy today,0.43
A storm is coming,It is a beautiful day,0.51
It might snow today,I am doing yoga,0.0
I am a bit upset,The food tastes great,0.0
I feel excited,It is sunny today,0.08
The dog is barking,The cat is sleeping,0.49
I am studying for exams,The car is parked outside,0.0
The movie was boring,I am cleaning my room,0.0
The car is parked outside,I am reading a book,0.0
The bed is comfortable,The game was fun,0.34
I feel nervous,I am cleaning my room,0.35
I am cooking dinner,It is cloudy today,0.0
I am calm and relaxed,I am watching a movie,0.23
It is raining today,I am going to the gym,0.0
I am happy today,The cat is sleeping,0.12
The room is clean,I am studying for exams,0.0
I am feeling great,I feel confident,0.13
The computer is running,The bed is comfortable,0.61
I am sad today,I feel nervous,0.13
The phone is ringing,It is windy today,0.24
I am scared,The computer is running,0.08
The game was fun,It is windy today,0.0
I am going to the gym,The movie was boring,0.11
I am calm and relaxed,I am very tired,0.48
It is raining today,The game was fun,0.12
The computer is running,I am happy today,0.04
I am sad today,The phone is ringing,0.03
The weather is cold,It is sunny today,0.42
I am playing football,The phone is ringing,0.0
It is sunny today,The game was fun,0.0
I am coding a project,I feel confident,0.03
The computer is running,I am watching a movie,0.0
I am scared,I am watching a movie,0.49
The food tastes great,I am playing football,0.0
I am calm and relaxed,I am a bit upset,0.48
The movie was boring,I am playing football,0.04
I am learning a new language,I am cleaning my room,0.39
I am very tired,It is raining today,0.0
The game was fun,I am watching a movie,0.0
It might snow today,I am a bit upset,0.0
I am cooking dinner,The car is parked outside,0.12
It is windy today,It is sunny today,0.62
I am playing football,I am learning a new language,0.49
I feel nervous,It is raining today,0.05
The computer is running,The game was fun,0.36
It might snow today,I feel confident,0.0
It might snow today,I am going to the gym,0.0
The food tastes great,I am reading a book,0.17
The cat is sleeping,I am watching a movie,0.06
I feel excited,I am calm and relaxed,0.35
I am watching a movie,I am reading a book,0.73
The car is parked outside,I feel nervous,0.0
It is windy today,I am sad today,0.24
I am coding a project,I am playing football,0.55
The game was fun,The cat is sleeping,0.43
I am going to the gym,It is windy today,0.17
The game was fun,It is cloudy today,0.13
The weather is hot,It is a beautiful day,0.43
The game was fun,It is sunny today,0.0
The weather is cold,There is a thunderstorm,0.14
I am feeling great,I am reading a book,0.42
I am a bit upset,A storm is coming,0.07
The bed is comfortable,I am studying for exams,0.01
I feel excited,The room is clean,0.02
I am calm and relaxed,The room is clean,0.0
I am cooking dinner,I feel confident,0.09
I am scared,The food tastes great,0.2
There is a thunderstorm,I am watching a movie,0.34
I am watching a movie,The movie was boring,0.13
I am studying for exams,I am watching a movie,0.29
It is a beautiful day,I feel excited,0.03
I am reading a book,It is raining today,0.0
I am studying for exams,The room is clean,0.0
The game was fun,I feel nervous,0.12
The dog is barking,I am calm and relaxed,0.0
I am a bit upset,I am reading a book,0.46
I am watching a movie,It is cloudy today,0.06
I am coding a project,I feel nervous,0.19
I am calm and relaxed,A storm is coming,0.18
I am happy today,I feel nervous,0.21
The room is clean,The bed is comfortable,0.39
I am learning a new language,I am coding a project,0.45
I am playing football,I am calm and relaxed,0.34
It is cloudy today,The bed is comfortable,0.45
I am cooking dinner,The room is clean,0.0
I feel excited,I am a bit upset,0.31
I am reading a book,I feel confident,0.23
I am happy today,I am feeling great,0.46
The weather is hot,I am playing football,0.01
It is sunny today,It is a beautiful day,0.69
I am playing football,The bed is comfortable,0.02
I am happy today,The computer is running,0.06
The car is parked outside,I am watching a movie,0.2
A storm is coming,The food tastes great,0.11
The cat is sleeping,I feel excited,0.13
It might snow today,I am scared,0.0
The game was fun,I am cleaning my room,0.0
The cat is sleeping,The bed is comfortable,0.48
The dog is barking,It might snow today,0.0
The computer is running,The cat is sleeping,0.68
The food tastes great,I am a bit upset,0.0
I am playing football,It is a beautiful day,0.0
I am calm and relaxed,The room is clean,0.04
I feel nervous,I am very tired,0.24
I am cooking dinner,I am reading a book,0.54
I feel excited,I feel confident,0.81
It is cloudy today,I am calm and relaxed,0.0
I am scared,There is a thunderstorm,0.2
I am doing yoga,I am going to the gym,0.55
I am studying for exams,The cat is sleeping,0.0
The weather is cold,It is sunny today,0.34
I am very tired,I am sad today,0.46
I am very tired,I am happy today,0.44
The weather is hot,I am a bit upset,0.0
I am going to the gym,The computer is running,0.35
I am sad today,The dog is barking,0.05
I am sad today,I am studying for exams,0.67
The dog is barking,A storm is coming,0.09
The movie was boring,It is sunny today,0.0
I am happy today,I feel excited,0.14
I am a bit upset,I feel excited,0.2
It is windy today,I am coding a project,0.14
I feel excited,I feel nervous,0.49
It is raining today,The game was fun,0.14
I feel excited,I feel nervous,0.59
The weather is cold,The game was fun,0.32
The weather is cold,It is raining today,0.44
I am learning a new language,I am learning a new language,0.85
It is a beautiful day,The computer is running,0.39
It is cloudy today,It is cloudy today,1.0
It is sunny today,There is a thunderstorm,0.44
The weather is cold,It is a beautiful day,0.11
It is raining today,I am sad today,0.33
I am very tired,I feel confident,0.25
I am cooking dinner,It is raining today,0.0
I am coding a project,I am calm and relaxed,0.32
I am happy today,It is raining today,0.31
I am doing yoga,I am happy today,0.55
The weather is cold,The game was fun,0.36
I am a bit upset,It is raining today,0.0
I am very tired,I am a bit upset,0.69
It is cloudy today,It is raining today,0.73
A storm is coming,I am a bit upset,0.35
I am a bit upset,I am feeling great,0.28
A storm is coming,I feel confident,0.09
It is raining today,The weather is hot,0.35
The weather is cold,I feel nervous,0.16
I am doing yoga,It is cloudy today,0.08
I am watching a movie,I am a bit upset,0.76
I am a bit upset,It is windy today,0.0
I am sad today,The weather is cold,0.0
It is cloudy today,There is a thunderstorm,0.26
I am studying for exams,It is raining today,0.0
The game was fun,I am cooking dinner,0.07
It is cloudy today,I am a bit upset,0.11
The phone is ringing,A storm is coming,0.29
It is sunny today,The computer is running,0.29
I am very tired,I am calm and relaxed,0.61
The weather is cold,There is a thunderstorm,0.34
I feel excited,The phone is ringing,0.0
I am doing yoga,It is a beautiful day,0.04
I am cleaning my room,The bed is comfortable,0.0
I am studying for exams,It is cloudy today,0.0
It is sunny today,The phone is ringing,0.19
I am learning a new language,I am feeling great,0.2
The game was fun,The bed is comfortable,0.12
The weather is cold,It is sunny today,0.37
I am doing yoga,I am happy today,0.36
I am learning a new language,I am learning a new language,0.94
The dog is barking,I am happy today,0.04
I am happy today,I am a bit upset,0.49
The game was fun,I am a bit upset,0.0
I am reading a book,I am very tired,0.56
I am calm and relaxed,I am playing football,0.29
I feel excited,It might snow today,0.07
I am cleaning my room,The food tastes great,0.18
I am doing yoga,I am watching a movie,0.5
The phone is ringing,I am studying for exams,0.0
I am coding a project,It is cloudy today,0.0
I feel excited,I am studying for exams,0.26
I am sad today,It is cloudy today,0.33
There is a thunderstorm,It is raining today,0.1
I am feeling great,It is raining today,0.16
The weather is hot,A storm is coming,0.16
The weather is cold,I feel nervous,0.0
The weather is cold,I am a bit upset,0.11
It is cloudy today,The car is parked outside,0.1
The game was fun,I am studying for exams,0.0
I am cooking dinner,I am playing football,0.66
The bed is comfortable,I am cleaning my room,0.0
The weather is cold,I am a bit upset,0.0
I am a bit upset,It might snow today,0.0
The cat is sleeping,The dog is barking,0.39
I am calm and relaxed,The computer is running,0.0
The weather is cold,I am scared,0.05
I am scared,I am doing yoga,0.84
The food tastes great,I am studying for exams,0.0
I am learning a new language,It is raining today,0.18
I am studying for exams,The weather is cold,0.02
There is a thunderstorm,The movie was boring,0.0
The phone is ringing,The computer is running,0.31
I am a bit upset,I am calm and relaxed,0.52
I am feeling great,I am cleaning my room,0.49
The car is parked outside,A storm is coming,0.14
I am happy today,I am cleaning my room,0.4
I am happy today,I am reading a book,0.52
The cat is sleeping,I am sad today,0.09
The car is parked outside,I feel nervous,0.0
I am learning a new language,I feel excited,0.04
I am very tired,I am happy today,0.33
I am happy today,I am sad today,0.77
I am happy today,I feel nervous,0.06
It is windy today,I am very tired,0.18
The weather is hot,I am learning a new language,0.0
I am going to the gym,The car is parked outside,0.03
It might snow today,The food tastes great,0.0
It is a beautiful day,I am watching a movie,0.02
I feel nervous,I am calm and relaxed,0.5
I am a bit upset,There is a thunderstorm,0.06
I am cleaning my room,It is a beautiful day,0.0
I am watching a movie,The bed is comfortable,0.0
The weather is cold,It is a beautiful day,0.31
The phone is ringing,The cat is sleeping,0.42
The phone is ringing,The car is parked outside,0.33
I feel confident,I am reading a book,0.21
I am cleaning my room,The weather is cold,0.0
I am cooking dinner,I am very tired,0.36
The weather is cold,I am reading a book,0.0
I am cleaning my room,I am cooking dinner,0.24
I am doing yoga,I am a bit upset,0.68
It is raining today,I am learning a new language,0.04
I am feeling great,A storm is coming,0.18
I am cleaning my room,It is a beautiful day,0.04
The weather is hot,It is windy today,0.37
I am scared,The room is clean,0.0
I am sad today,I am doing yoga,0.4
The car is parked outside,I am coding a project,0.0
I feel confident,The bed is comfortable,0.0
I am a bit upset,I am coding a project,0.42
The weather is hot,I am scared,0.06
I am calm and relaxed,I am playing football,0.22
I am cooking dinner,The car is parked outside,0.19
The dog is barking,I am calm and relaxed,0.0
I am going to the gym,I feel confident,0.02
I am happy today,I am going to the gym,0.7
I am very tired,I am very tired,1.0
I am sad today,The weather is cold,0.03
The movie was boring,I am a bit upset,0.0
The dog is barking,It is cloudy today,0.34
I am scared,I am very tired,0.72
I am sad today,I am playing football,0.53
It is raining today,The phone is ringing,0.19
The movie was boring,The bed is comfortable,0.32
I am going to the gym,The bed is comfortable,0.07
It is raining today,I am cleaning my room,0.0
I am coding a project,The phone is ringing,0.19
I am happy today,I am coding a project,0.5
The weather is hot,I am scared,0.13
I am calm and relaxed,The dog is barking,0.0
I am cooking dinner,The weather is cold,0.14
It is sunny today,I am doing yoga,0.08
The food tastes great,It is windy today,0.07
The computer is running,A storm is coming,0.25
The food tastes great,There is a thunderstorm,0.0
The weather is cold,The bed is comfortable,0.36
A storm is coming,It is cloudy today,0.44
I am feeling great,It is cloudy today,0.0
It is a beautiful day,It is a beautiful day,0.86
I am scared,I feel excited,0.2
I am a bit upset,It is raining today,0.15
The cat is sleeping,The car is parked outside,0.7
There is a thunderstorm,I am watching a movie,0.18
The food tastes great,I feel confident,0.0
The movie was boring,The room is clean,0.29
I am reading a book,It is a beautiful day,0.31
I am sad today,I am reading a book,0.65
The food tastes great,It might snow today,0.0
The cat is sleeping,It is sunny today,0.06
I am very tired,I am sad today,0.57
The car is parked outside,The movie was boring,0.22
I am cooking dinner,I am studying for exams,0.38
It is cloudy today,The bed is comfortable,0.28
The weather is hot,I am learning a new language,0.0
I am scared,I am learning a new language,0.86
I am doing yoga,I am happy today,0.32
I am happy today,The car is parked outside,0.17
It is a beautiful day,I am cooking dinner,0.0
I am studying for exams,The food tastes great,0.0
I am doing yoga,The dog is barking,0.0
I am scared,I am calm and relaxed,0.53
It is a beautiful day,The movie was boring,0.0
I am doing yoga,I am going to the gym,0.56
It is raining today,I feel nervous,0.19
I feel excited,It is raining today,0.0
The movie was boring,I am feeling great,0.19
The weather is cold,The phone is ringing,0.48
I am happy today,I feel excited,0.41
It is a beautiful day,I am cleaning my room,0.03
I feel excited,The car is parked outside,0.0
I am feeling great,I am coding a project,0.6
I am calm and relaxed,It might snow today,0.0
I am sad today,It is cloudy today,0.19
The movie was boring,I am coding a project,0.11
It is cloudy today,It is a beautiful day,0.33
The weather is hot,I am going to the gym,0.27
I am a bit upset,I am coding a project,0.75
A storm is coming,The movie was boring,0.03
I am happy today,The room is clean,0.0
The bed is comfortable,The game was fun,0.23
I am a bit upset,I feel excited,0.05
I am studying for exams,The weather is hot,0.0
It might snow today,I feel excited,0.06
I am cleaning my room,I am scared,0.27
The car is parked outside,The movie was boring,0.14
I am playing football,I am learning a new language,0.45
The weather is hot,I am feeling great,0.14
The weather is cold,I am very tired,0.0
I am a bit upset,I am going to the gym,0.28
The room is clean,I am scared,0.0
I am learning a new language,I am studying for exams,0.31
I am coding a project,I am doing yoga,0.54
I feel confident,The bed is comfortable,0.04
The bed is comfortable,The car is parked outside,0.33
I feel confident,I am cooking dinner,0.5
It is sunny today,A storm is coming,0.28
I am playing football,The room is clean,0.18
It is raining today,I am calm and relaxed,0.0
The food tastes great,I am reading a book,0.07
I feel excited,I am sad today,0.46
The weather is cold,I am happy today,0.01
I am coding a project,I am doing yoga,0.35
The movie was boring,I am happy today,0.0
I feel excited,The room is clean,0.14
I am a bit upset,It is a beautiful day,0.37
I feel confident,I am playing football,0.28
I am feeling great,I am watching a movie,0.45
It is cloudy today,The phone is ringing,0.07
The movie was boring,I am going to the gym,0.33
It is a beautiful day,I am doing yoga,0.0
I am doing yoga,I am scared,0.33
The weather is hot,The room is clean,0.51
I am very tired,The bed is comfortable,0.0
There is a thunderstorm,It is sunny today,0.37
There is a thunderstorm,I am reading a book,0.14
I am studying for exams,The game was fun,0.08
I am doing yoga,I feel excited,0.34
I am doing yoga,I am playing football,0.53
The bed is comfortable,I am a bit upset,0.0
I am cleaning my room,The weather is cold,0.0
The phone is ringing,The cat is sleeping,0.48
I am studying for exams,It is sunny today,0.0
I am very tired,It is cloudy today,0.0
I am cleaning my room,I am feeling great,0.21
I am coding a project,It is cloudy today,0.0
The bed is comfortable,It is windy today,0.38
I am watching a movie,I am cooking dinner,0.21
The weather is cold,It is sunny today,0.22
I am calm and relaxed,The computer is running,0.0
I am feeling great,The phone is ringing,0.0
I am learning a new language,The movie was boring,0.18
I am playing football,The cat is sleeping,0.08
The weather is hot,A storm is coming,0.26
A storm is coming,It is sunny today,0.15
I am scared,The game was fun,0.0
The room is clean,I am happy today,0.09
The food tastes great,The room is clean,0.28
I am calm and relaxed,It is windy today,0.04
I am very tired,The weather is cold,0.0
I feel nervous,I am watching a movie,0.25
I am going to the gym,The dog is barking,0.05
I feel excited,It is raining today,0.0
I am feeling great,I am doing yoga,0.54
I feel nervous,I feel confident,0.57
The game was fun,I am sad today,0.0
I feel nervous,I am learning a new language,0.28
It is windy today,It is windy today,0.86
The car is parked outside,It is raining today,0.18
The room is clean,It is cloudy today,0.27
It is a beautiful day,The room is clean,0.06
It is cloudy today,The weather is cold,0.31
I am cooking dinner,I am coding a project,0.36
The car is parked outside,I am learning a new language,0.0
I am doing yoga,The car is parked outside,0.0
I am happy today,I am feeling great,0.39
I am a bit upset,It is a beautiful day,0.06
I feel nervous,I am calm and relaxed,0.14
I am happy today,It is cloudy today,0.41
The room is clean,It is sunny today,0.35
The car is parked outside,It is windy today,0.18
I am learning a new language,The food tastes great,0.1
I am studying for exams,It is raining today,0.0
I am doing yoga,The weather is hot,0.0
The cat is sleeping,I am cooking dinner,0.0
It is cloudy today,I am studying for exams,0.03
I am reading a book,The weather is hot,0.0
I am studying for exams,I am happy today,0.54
The movie was boring,I feel confident,0.13
I am calm and relaxed,I feel excited,0.35
I am very tired,The bed is comfortable,0.0
The phone is ringing,I am coding a project,0.0
The bed is comfortable,I am playing football,0.03
